K¿benhavns Kommune,101,178374
Frederiksberg Kommune,147,214993
Ballerup Kommune,151,195178
Br¿ndby Kommune,153,172681
Drag¿r Kommune,155,240836
Gentofte Kommune,157,307347
Gladsaxe Kommune,159,199286
Glostrup Kommune,161,193641
Herlev Kommune,163,185601
Albertslund Kommune,165,167726
Hvidovre Kommune,167,180231
H¿je-Taastrup Kommune,169,177227
Lyngby-Taarb¾k Kommune,173,257341
R¿dovre Kommune,175,181639
Ish¿j Kommune,183,156774
Tårnby Kommune,185,190319
Vallensb¾k Kommune,187,214493
Fures¿ Kommune,190,246040
Aller¿d Kommune,201,249658
Fredensborg Kommune,210,220316
Helsing¿r Kommune,217,198031
Hiller¿d Kommune,219,204457
H¿rsholm Kommune,223,310371
Rudersdal Kommune,230,305603
Egedal Kommune,240,206755
Frederikssund Kommune,250,185195
Halsn¾s Kommune,260,170973
Gribskov Kommune,270,201079
Bornholms Kommune,400,152529
Greve Kommune,253,206539
K¿ge Kommune,259,174531
Roskilde Kommune,265,202221
Solr¿d Kommune,269,211866
Odsherred Kommune,306,171291
Holb¾k Kommune,316,166389
Faxe Kommune,320,160930
Kalundborg Kommune,326,164079
Ringsted Kommune,329,165080
Slagelse Kommune,330,159667
Stevns Kommune,336,172810
Sor¿ Kommune,340,162547
Lejre Kommune,350,190974
Lolland Kommune,360,150584
N¾stved Kommune,370,163390
Guldborgsund Kommune,376,152179
Vordingborg Kommune,390,158332
Middelfart Kommune,410,168076
Assens Kommune,420,153976
Faaborg-Midtfyn Kommune,430,154665
Kerteminde Kommune,440,161855
Nyborg Kommune,450,160197
Odense Kommune,461,155837
Svendborg Kommune,479,156387
Nordfyns Kommune,480,154851
Langeland Kommune,482,156312
®r¿ Kommune,492,151702
Haderslev Kommune,510,155229
Billund Kommune,530,161675
S¿nderborg Kommune,540,161285
T¿nder Kommune,550,150323
Esbjerg Kommune,561,164449
Fan¿ Kommune,563,210258
Varde Kommune,573,164036
Vejen Kommune,575,147217
Aabenraa Kommune,580,156340
Fredericia Kommune,607,169510
Kolding Kommune,621,170110
Vejle Kommune,630,168117
Horsens Kommune,615,154375
Herning Kommune,657,158944
Holstebro Kommune,661,159742
Lemvig Kommune,665,161148
Struer Kommune,671,161120
Syddjurs Kommune,706,165115
Norddjurs Kommune,707,150168
Favrskov Kommune,710,164310
Odder Kommune,727,172945
Randers Kommune,730,153863
Silkeborg Kommune,740,167318
Sams¿ Kommune,741,163064
Skanderborg Kommune,746,174775
Aarhus Kommune,751,171097
Ikast-Brande Kommune,756,153679
Ringk¿bing-Skjern Kommune,760,165223
Hedensted Kommune,766,161549
Skive Kommune,779,154977
Viborg Kommune,791,159981
Mors¿ Kommune,773,148634
Thisted Kommune,787,153537
Br¿nderslev Kommune,810,146277
Frederikshavn Kommune,813,159915
Vesthimmerlands Kommune,820,144670
L¾s¿ Kommune,825,170211
Rebild Kommune,840,156424
Mariagerfjord Kommune,846,154560
Jammerbugt Kommune,849,156701
Aalborg Kommune,851,159089
Hj¿rring Kommune,860,155151
