kom,vvot,support,oppose,dk,na
Aabenraa,12305,,,1,
Aalborg,29359,,,,1
Aarhus,30968,1,,,
Albertslund,1188,,,,1
Allerød,2528,1,,,
Assens,8127,1,,,
Ballerup,3624,1,,,
Billund,6870,,,1,
Bornholm,5127,,,1,
Brøndby,2228,1,,,
Brønderslev,7469,,,1,
Dragør,1372,1,,,
Egedal,6437,,,1,
Esbjerg,26095,1,,,
Faaborg-Midtfyn,10274,,,1,
Fanø,547,1,,,
Favrskov,8373,,,1,
Fa1e,5263,1,,,
Fredensborg,5940,,,1,
Fredericia,6653,,,,1
Frederiksberg,4306,,,1,
Frederikshavn,10945,1,,,
Frederikssund,7539,1,,,
Furesø,5143,1,,,
Gentofte,3782,,,1,
Gladsa1e,5119,1,,,
Glostrup,3289,,,1,
Greve,9782,,,1,
Gribskov,9303,1,,,
Guldborgsund,5053,1,,,
Haderslev,10574,,,1,
Halsnæs,4914,1,,,
Hedensted,11352,1,,,
Helsingør,2899,1,,,
Herlev,1164,,,1,
Herning,28686,1,,,
Hillerød,8548,,,1,
Hjørring,9217,,,1,
Holbæk,12742,1,,,
Holstebro,10833,,,1,
Horsens,12552,,,1,
Hvidovre,2437,,,1,
Høje-Taastrup,1428,,1,,
Hørsholm,3752,,,1,
Ikast-Brande,8291,,1,,
Ishøj,1300,,,1,
Jammerbugt,10338,1,,,
Kalundborg,9879,,,1,
Kerteminde,2157,1,,,
Kolding,21460,,,1,
København,31442,,,1,
Køge,10233,1,,,
Langeland,2286,,1,,
Lejre,4975,,,1,
Lemvig,6135,,1,,
Lolland,7197,,1,,
Lyngby-Taarbæk,5849,1,,,
Læsø,187,,,1,
Mariagerfjord,8901,1,,,
Middelfart,5238,1,,,
Morsø,4482,,,1,
Norddjurs,4875,,,1,
Nordfyns,6709,1,,,
Nyborg,5911,1,,,
Næstved,12074,,,1,
Odder,5144,,,1,
Odense,24992,1,,,
Odsherred,5287,,,1,
Randers,17358,,1,,
Rebild,4777,,,1,
Ringkøbing-Skjern,14755,,,1,
Ringsted,5399,,1,,
Roskilde,11174,,1,,
Rudersdal,10783,1,,,
Rødovre,1895,,,1,
Samsø,866,,,1,
Silkeborg,16841,,,1,
Skanderborg,10023,,1,,
Skive,10250,1,,,
Slagelse,12472,,1,,
Solrød,4411,,,1,
Sorø,3183,,,1,
Stevns,4778,,,1,
Struer,5041,,,1,
Svendborg,7095,,,1,
Syddjurs,6525,,,1,
Sønderborg,11227,,,1,
Thisted,8643,,1,,
Tårnby,4339,,,1,
Tønder,9147,,,,1
Vallensbæk,505,,,1,
Varde,15369,,,1,
Vejen,10003,,,1,
Vejle,19710,1,,,
Vesthimmerlands,5067,,,1,
Viborg,17084,,1,,
Vordingborg,8633,,1,,
Ærø,666,,,1,
