kom,vvot,support,oppose,dk,na,knr,taxbase
Aabenraa,12305,,,1,,580,156340
Aalborg,29359,,,,1,851,159089
Aarhus,30968,1,,,,751,171097
Albertslund,1188,,,,1,165,167726
Allerød,2528,1,,,,201,249658
Assens,8127,1,,,,420,153976
Ballerup,3624,1,,,,151,195178
Billund,6870,,,1,,530,161675
Bornholm,5127,,,1,,400,152529
Brøndby,2228,1,,,,153,172681
Brønderslev,7469,,,1,,810,146277
Dragør,1372,1,,,,155,240836
Egedal,6437,,,1,,240,206755
Esbjerg,26095,1,,,,561,164449
Faaborg-Midtfyn,10274,,,1,,430,154665
Fanø,547,1,,,,563,210258
Favrskov,8373,,,1,,710,164310
Faxe,5263,1,,,,320,160930
Fredensborg,5940,,,1,,210,220316
Fredericia,6653,,,,1,607,169510
Frederiksberg,4306,,,1,,147,214993
Frederikshavn,10945,1,,,,813,159915
Frederikssund,7539,1,,,,250,185195
Furesø,5143,1,,,,190,246040
Gentofte,3782,,,1,,157,307347
Gladsa1e,5119,1,,,,159,199286
Glostrup,3289,,,1,,161,193641
Greve,9782,,,1,,253,206539
Gribskov,9303,1,,,,270,201079
Guldborgsund,5053,1,,,,376,152179
Haderslev,10574,,,1,,510,155229
Halsnæs,4914,1,,,,260,170973
Hedensted,11352,1,,,,766,161549
Helsingør,2899,1,,,,217,198031
Herlev,1164,,,1,,163,185601
Herning,28686,1,,,,657,158944
Hillerød,8548,1,,,,219,204457
Hjørring,9217,,,1,,860,155151
Holbæk,12742,1,,,,316,166389
Holstebro,10833,,,1,,661,159742
Horsens,12552,,,1,,615,154375
Hvidovre,2437,,,1,,167,180231
Høje-Taastrup,1428,,1,,,169,177227
Hørsholm,3752,,,1,,223,310371
Ikast-Brande,8291,,1,,,756,153679
Ishøj,1300,,,1,,183,156774
Jammerbugt,10338,1,,,,849,156701
Kalundborg,9879,,,1,,326,164079
Kerteminde,2157,1,,,,440,161855
Kolding,21460,,,1,,621,170110
København,31442,1,,,,101,178374
Køge,10233,1,,,,259,174531
Langeland,2286,,1,,,482,156312
Lejre,4975,1,,,,350,190974
Lemvig,6135,,1,,,665,161148
Lolland,7197,,1,,,360,150584
Lyngby-Taarbæk,5849,1,,,,173,257341
Læsø,187,,,1,,825,170211
Mariagerfjord,8901,1,,,,846,154560
Middelfart,5238,1,,,,410,168076
Morsø,4482,,,1,,773,148634
Norddjurs,4875,,,1,,370,163390
Nordfyns,6709,1,,,,707,150168
Nyborg,5911,1,,,,480,154851
Næstved,12074,,,1,,450,160197
Odder,5144,,,1,,727,172945
Odense,24992,1,,,,461,155837
Odsherred,5287,,,1,,306,171291
Randers,17358,,1,,,730,153863
Rebild,4777,,,1,,840,156424
Ringkøbing-Skjern,14755,,,1,,760,165223
Ringsted,5399,,1,,,329,165080
Roskilde,11174,,1,,,265,202221
Rudersdal,10783,1,,,,230,305603
Rødovre,1895,,,1,,175,181639
Samsø,866,,,1,,741,163064
Silkeborg,16841,,1,,,740,167318
Skanderborg,10023,,1,,,746,174775
Skive,10250,1,,,,779,154977
Slagelse,12472,,1,,,330,159667
Solrød,4411,,,1,,269,211866
Sorø,3183,,,1,,340,162547
Stevns,4778,,1,,,336,172810
Struer,5041,,,1,,671,161120
Svendborg,7095,,,1,,479,156387
Syddjurs,6525,,,1,,706,165115
Sønderborg,11227,,,1,,540,161285
Thisted,8643,,1,,,787,153537
Tårnby,4339,,,1,,185,190319
Tønder,9147,,,,1,550,150323
Vallensbæk,505,,,1,,187,214493
Varde,15369,,,1,,573,164036
Vejen,10003,,,1,,575,147217
Vejle,19710,1,,,,630,168117
Vesthimmerlands,5067,,,1,,820,144670
Viborg,17084,,1,,,791,159981
Vordingborg,8633,,1,,,390,158332
Ærø,666,,,1,,492,151702
